...Utils file loaded	
...running on GPU	
training model with learning rate = 0.050, K = 10, J = 20, threshold = 0.010, embedding size = 50, and batch size = 200...	
Running BOW model	
Epoch 85, epsilon = 0.100, sum(y)/len(y) = 657/1000, {Recall = 0.654528, Precision = 0.252402, F1 = 0.364315}, query = aurora	
Epoch 86, epsilon = 0.100, sum(y)/len(y) = 648/1000, {Recall = 0.650216, Precision = 0.254358, F1 = 0.365670}, query = aurora	
Epoch 87, epsilon = 0.100, sum(y)/len(y) = 618/1000, {Recall = 0.648778, Precision = 0.266693, F1 = 0.378001}, query = aurora	
Epoch 88, epsilon = 0.100, sum(y)/len(y) = 679/1000, {Recall = 0.661236, Precision = 0.246561, F1 = 0.359188}, query = aurora	
Epoch 89, epsilon = 0.100, sum(y)/len(y) = 675/1000, {Recall = 0.659320, Precision = 0.247660, F1 = 0.360068}, query = aurora	
Epoch 90, epsilon = 0.100, sum(y)/len(y) = 606/1000, {Recall = 0.639674, Precision = 0.268342, F1 = 0.378080}, query = aurora	
Epoch 91, epsilon = 0.100, sum(y)/len(y) = 542/1000, {Recall = 0.598946, Precision = 0.279955, F1 = 0.381563}, query = aurora	
Epoch 92, epsilon = 0.100, sum(y)/len(y) = 541/1000, {Recall = 0.597029, Precision = 0.279560, F1 = 0.380807}, query = aurora	
Epoch 93, epsilon = 0.100, sum(y)/len(y) = 536/1000, {Recall = 0.594633, Precision = 0.280769, F1 = 0.381435}, query = aurora	
Epoch 94, epsilon = 0.100, sum(y)/len(y) = 530/1000, {Recall = 0.600383, Precision = 0.283677, F1 = 0.385301}, query = aurora	
Epoch 95, epsilon = 0.100, sum(y)/len(y) = 534/1000, {Recall = 0.594633, Precision = 0.280135, F1 = 0.380850}, query = aurora	
Epoch 96, epsilon = 0.100, sum(y)/len(y) = 532/1000, {Recall = 0.594154, Precision = 0.280988, F1 = 0.381538}, query = aurora	
Epoch 97, epsilon = 0.100, sum(y)/len(y) = 531/1000, {Recall = 0.593196, Precision = 0.281108, F1 = 0.381451}, query = aurora	
Epoch 98, epsilon = 0.100, sum(y)/len(y) = 531/1000, {Recall = 0.593196, Precision = 0.281108, F1 = 0.381451}, query = aurora	
Epoch 99, epsilon = 0.100, sum(y)/len(y) = 531/1000, {Recall = 0.593196, Precision = 0.281108, F1 = 0.381451}, query = aurora	
Epoch 100, epsilon = 0.100, sum(y)/len(y) = 522/1000, {Recall = 0.589842, Precision = 0.284493, F1 = 0.383848}, query = aurora	
Epoch 101, epsilon = 0.100, sum(y)/len(y) = 521/1000, {Recall = 0.589842, Precision = 0.285020, F1 = 0.384327}, query = aurora	
Epoch 102, epsilon = 0.100, sum(y)/len(y) = 519/1000, {Recall = 0.588404, Precision = 0.285250, F1 = 0.384230}, query = aurora	
Epoch 103, epsilon = 0.100, sum(y)/len(y) = 513/1000, {Recall = 0.601342, Precision = 0.293567, F1 = 0.394530}, query = aurora	
Epoch 104, epsilon = 0.100, sum(y)/len(y) = 519/1000, {Recall = 0.588404, Precision = 0.285250, F1 = 0.384230}, query = aurora	
Epoch 105, epsilon = 0.100, sum(y)/len(y) = 551/1000, {Recall = 0.618112, Precision = 0.284643, F1 = 0.389787}, query = aurora	
Epoch 106, epsilon = 0.100, sum(y)/len(y) = 531/1000, {Recall = 0.611883, Precision = 0.289701, F1 = 0.393226}, query = aurora	
Epoch 107, epsilon = 0.100, sum(y)/len(y) = 508/1000, {Recall = 0.612362, Precision = 0.305888, F1 = 0.407981}, query = aurora	
Epoch 108, epsilon = 0.100, sum(y)/len(y) = 540/1000, {Recall = 0.617154, Precision = 0.289959, F1 = 0.394547}, query = aurora	
Epoch 109, epsilon = 0.100, sum(y)/len(y) = 517/1000, {Recall = 0.586009, Precision = 0.285348, F1 = 0.383807}, query = aurora	
Epoch 110, epsilon = 0.100, sum(y)/len(y) = 472/1000, {Recall = 0.580738, Precision = 0.309895, F1 = 0.404135}, query = aurora	
Epoch 111, epsilon = 0.100, sum(y)/len(y) = 473/1000, {Recall = 0.579300, Precision = 0.308733, F1 = 0.402799}, query = aurora	
Epoch 112, epsilon = 0.100, sum(y)/len(y) = 472/1000, {Recall = 0.559655, Precision = 0.296823, F1 = 0.387911}, query = aurora	
Epoch 113, epsilon = 0.100, sum(y)/len(y) = 468/1000, {Recall = 0.557259, Precision = 0.298282, F1 = 0.388573}, query = aurora	
Epoch 114, epsilon = 0.100, sum(y)/len(y) = 462/1000, {Recall = 0.552947, Precision = 0.300286, F1 = 0.389207}, query = aurora	
Epoch 115, epsilon = 0.100, sum(y)/len(y) = 461/1000, {Recall = 0.552947, Precision = 0.300991, F1 = 0.389799}, query = aurora	
Epoch 116, epsilon = 0.100, sum(y)/len(y) = 492/1000, {Recall = 0.595592, Precision = 0.304806, F1 = 0.403244}, query = aurora	
Epoch 117, epsilon = 0.100, sum(y)/len(y) = 454/1000, {Recall = 0.566842, Precision = 0.310092, F1 = 0.400881}, query = aurora	
Epoch 118, epsilon = 0.100, sum(y)/len(y) = 457/1000, {Recall = 0.550551, Precision = 0.302368, F1 = 0.390352}, query = aurora	
Epoch 119, epsilon = 0.100, sum(y)/len(y) = 457/1000, {Recall = 0.550551, Precision = 0.302368, F1 = 0.390352}, query = aurora	
Epoch 120, epsilon = 0.100, sum(y)/len(y) = 452/1000, {Recall = 0.548634, Precision = 0.304846, F1 = 0.391922}, query = aurora	
Epoch 121, epsilon = 0.100, sum(y)/len(y) = 451/1000, {Recall = 0.547197, Precision = 0.304615, F1 = 0.391364}, query = aurora	
Epoch 122, epsilon = 0.100, sum(y)/len(y) = 451/1000, {Recall = 0.547197, Precision = 0.304615, F1 = 0.391364}, query = aurora	
Epoch 123, epsilon = 0.100, sum(y)/len(y) = 451/1000, {Recall = 0.547197, Precision = 0.304615, F1 = 0.391364}, query = aurora	
Epoch 124, epsilon = 0.100, sum(y)/len(y) = 488/1000, {Recall = 0.586009, Precision = 0.304684, F1 = 0.400918}, query = aurora	
Epoch 125, epsilon = 0.100, sum(y)/len(y) = 450/1000, {Recall = 0.545759, Precision = 0.304545, F1 = 0.390939}, query = aurora	
Epoch 126, epsilon = 0.100, sum(y)/len(y) = 450/1000, {Recall = 0.545759, Precision = 0.304545, F1 = 0.390939}, query = aurora	
Epoch 127, epsilon = 0.100, sum(y)/len(y) = 448/1000, {Recall = 0.544801, Precision = 0.305153, F1 = 0.391192}, query = aurora	
Epoch 128, epsilon = 0.100, sum(y)/len(y) = 480/1000, {Recall = 0.582175, Precision = 0.307907, F1 = 0.402785}, query = aurora	
Epoch 129, epsilon = 0.100, sum(y)/len(y) = 447/1000, {Recall = 0.544322, Precision = 0.305623, F1 = 0.391454}, query = aurora	
Epoch 130, epsilon = 0.100, sum(y)/len(y) = 447/1000, {Recall = 0.544322, Precision = 0.305623, F1 = 0.391454}, query = aurora	
Epoch 131, epsilon = 0.100, sum(y)/len(y) = 447/1000, {Recall = 0.544322, Precision = 0.305623, F1 = 0.391454}, query = aurora	
Epoch 132, epsilon = 0.100, sum(y)/len(y) = 452/1000, {Recall = 0.572113, Precision = 0.318145, F1 = 0.408904}, query = aurora	
Epoch 133, epsilon = 0.100, sum(y)/len(y) = 445/1000, {Recall = 0.543843, Precision = 0.306757, F1 = 0.392259}, query = aurora	
Epoch 134, epsilon = 0.100, sum(y)/len(y) = 444/1000, {Recall = 0.543364, Precision = 0.307234, F1 = 0.392523}, query = aurora	
Epoch 135, epsilon = 0.100, sum(y)/len(y) = 444/1000, {Recall = 0.543364, Precision = 0.307234, F1 = 0.392523}, query = aurora	
Epoch 136, epsilon = 0.100, sum(y)/len(y) = 444/1000, {Recall = 0.543364, Precision = 0.307234, F1 = 0.392523}, query = aurora	
Epoch 137, epsilon = 0.100, sum(y)/len(y) = 441/1000, {Recall = 0.560613, Precision = 0.322670, F1 = 0.409592}, query = aurora	
Epoch 138, epsilon = 0.100, sum(y)/len(y) = 445/1000, {Recall = 0.562051, Precision = 0.317886, F1 = 0.406093}, query = aurora	
Epoch 139, epsilon = 0.100, sum(y)/len(y) = 438/1000, {Recall = 0.539051, Precision = 0.309576, F1 = 0.393288}, query = aurora	
Epoch 140, epsilon = 0.100, sum(y)/len(y) = 438/1000, {Recall = 0.539051, Precision = 0.309576, F1 = 0.393288}, query = aurora	
Epoch 141, epsilon = 0.100, sum(y)/len(y) = 435/1000, {Recall = 0.537135, Precision = 0.310785, F1 = 0.393748}, query = aurora	
Epoch 142, epsilon = 0.100, sum(y)/len(y) = 479/1000, {Recall = 0.580738, Precision = 0.307458, F1 = 0.402057}, query = aurora	
Epoch 143, epsilon = 0.100, sum(y)/len(y) = 220/1000, {Recall = 0.408241, Precision = 0.471500, F1 = 0.437596}, query = aurora	
Epoch 144, epsilon = 0.100, sum(y)/len(y) = 160/1000, {Recall = 0.329181, Precision = 0.504776, F1 = 0.398492}, query = aurora	
Epoch 145, epsilon = 0.100, sum(y)/len(y) = 160/1000, {Recall = 0.329181, Precision = 0.504776, F1 = 0.398492}, query = aurora	
Epoch 146, epsilon = 0.100, sum(y)/len(y) = 158/1000, {Recall = 0.324868, Precision = 0.505216, F1 = 0.395451}, query = aurora	
Epoch 147, epsilon = 0.100, sum(y)/len(y) = 158/1000, {Recall = 0.324868, Precision = 0.505216, F1 = 0.395451}, query = aurora	
Epoch 148, epsilon = 0.100, sum(y)/len(y) = 158/1000, {Recall = 0.324868, Precision = 0.505216, F1 = 0.395451}, query = aurora	
Epoch 149, epsilon = 0.100, sum(y)/len(y) = 157/1000, {Recall = 0.323910, Precision = 0.506747, F1 = 0.395206}, query = aurora	
Epoch 150, epsilon = 0.100, sum(y)/len(y) = 151/1000, {Recall = 0.315764, Precision = 0.509667, F1 = 0.389941}, query = aurora	
Epoch 151, epsilon = 0.100, sum(y)/len(y) = 211/1000, {Recall = 0.421658, Precision = 0.490251, F1 = 0.453375}, query = aurora	
Epoch 152, epsilon = 0.100, sum(y)/len(y) = 300/1000, {Recall = 0.512218, Precision = 0.435615, F1 = 0.470821}, query = aurora	
Epoch 153, epsilon = 0.100, sum(y)/len(y) = 148/1000, {Recall = 0.311931, Precision = 0.513812, F1 = 0.388193}, query = aurora	
Epoch 154, epsilon = 0.100, sum(y)/len(y) = 145/1000, {Recall = 0.308577, Precision = 0.518101, F1 = 0.386787}, query = aurora	
Epoch 155, epsilon = 0.100, sum(y)/len(y) = 204/1000, {Recall = 0.394825, Precision = 0.481590, F1 = 0.433913}, query = aurora	
Epoch 156, epsilon = 0.100, sum(y)/len(y) = 143/1000, {Recall = 0.305223, Precision = 0.520000, F1 = 0.384662}, query = aurora	
Epoch 157, epsilon = 0.100, sum(y)/len(y) = 143/1000, {Recall = 0.305223, Precision = 0.520000, F1 = 0.384662}, query = aurora	
Epoch 158, epsilon = 0.100, sum(y)/len(y) = 141/1000, {Recall = 0.300431, Precision = 0.519900, F1 = 0.380808}, query = aurora	
Epoch 159, epsilon = 0.100, sum(y)/len(y) = 141/1000, {Recall = 0.300431, Precision = 0.519900, F1 = 0.380808}, query = aurora	
Epoch 160, epsilon = 0.100, sum(y)/len(y) = 209/1000, {Recall = 0.415908, Precision = 0.496000, F1 = 0.452437}, query = aurora	
Epoch 161, epsilon = 0.100, sum(y)/len(y) = 237/1000, {Recall = 0.434116, Precision = 0.464377, F1 = 0.448737}, query = aurora	
Epoch 162, epsilon = 0.100, sum(y)/len(y) = 140/1000, {Recall = 0.299473, Precision = 0.522139, F1 = 0.380633}, query = aurora	
Epoch 163, epsilon = 0.100, sum(y)/len(y) = 139/1000, {Recall = 0.297556, Precision = 0.522288, F1 = 0.379121}, query = aurora	
Epoch 164, epsilon = 0.100, sum(y)/len(y) = 139/1000, {Recall = 0.297556, Precision = 0.522288, F1 = 0.379121}, query = aurora	
Epoch 165, epsilon = 0.100, sum(y)/len(y) = 302/1000, {Recall = 0.507906, Precision = 0.435855, F1 = 0.469130}, query = aurora	
Epoch 166, epsilon = 0.100, sum(y)/len(y) = 129/1000, {Recall = 0.285098, Precision = 0.542883, F1 = 0.373861}, query = aurora	
Epoch 167, epsilon = 0.100, sum(y)/len(y) = 276/1000, {Recall = 0.495448, Precision = 0.453509, F1 = 0.473552}, query = aurora	
Epoch 168, epsilon = 0.100, sum(y)/len(y) = 287/1000, {Recall = 0.489698, Precision = 0.435079, F1 = 0.460775}, query = aurora	
Epoch 169, epsilon = 0.100, sum(y)/len(y) = 187/1000, {Recall = 0.368471, Precision = 0.492318, F1 = 0.421485}, query = aurora	
Epoch 170, epsilon = 0.100, sum(y)/len(y) = 127/1000, {Recall = 0.281265, Precision = 0.544527, F1 = 0.370932}, query = aurora	
Epoch 171, epsilon = 0.100, sum(y)/len(y) = 123/1000, {Recall = 0.275994, Precision = 0.553314, F1 = 0.368286}, query = aurora	
Epoch 172, epsilon = 0.100, sum(y)/len(y) = 187/1000, {Recall = 0.388596, Precision = 0.513942, F1 = 0.442565}, query = aurora	
Epoch 173, epsilon = 0.100, sum(y)/len(y) = 233/1000, {Recall = 0.427887, Precision = 0.474243, F1 = 0.449874}, query = aurora	
Epoch 174, epsilon = 0.100, sum(y)/len(y) = 286/1000, {Recall = 0.508864, Precision = 0.448480, F1 = 0.476768}, query = aurora	
Epoch 175, epsilon = 0.100, sum(y)/len(y) = 132/1000, {Recall = 0.320077, Precision = 0.599641, F1 = 0.417370}, query = aurora	
Epoch 176, epsilon = 0.100, sum(y)/len(y) = 145/1000, {Recall = 0.313368, Precision = 0.558497, F1 = 0.401473}, query = aurora	
Epoch 177, epsilon = 0.100, sum(y)/len(y) = 45/1000, {Recall = 0.124581, Precision = 0.656566, F1 = 0.209424}, query = aurora	
Epoch 178, epsilon = 0.100, sum(y)/len(y) = 45/1000, {Recall = 0.124581, Precision = 0.656566, F1 = 0.209424}, query = aurora	
Epoch 179, epsilon = 0.100, sum(y)/len(y) = 131/1000, {Recall = 0.296119, Precision = 0.569585, F1 = 0.389660}, query = aurora	
Epoch 180, epsilon = 0.100, sum(y)/len(y) = 44/1000, {Recall = 0.121227, Precision = 0.653747, F1 = 0.204527}, query = aurora	
Epoch 181, epsilon = 0.100, sum(y)/len(y) = 215/1000, {Recall = 0.427887, Precision = 0.498326, F1 = 0.460428}, query = aurora	
Epoch 182, epsilon = 0.100, sum(y)/len(y) = 128/1000, {Recall = 0.307619, Precision = 0.587374, F1 = 0.403774}, query = aurora	
Epoch 183, epsilon = 0.100, sum(y)/len(y) = 220/1000, {Recall = 0.447532, Precision = 0.515737, F1 = 0.479220}, query = aurora	
Epoch 184, epsilon = 0.100, sum(y)/len(y) = 141/1000, {Recall = 0.335889, Precision = 0.594068, F1 = 0.429140}, query = aurora	
Epoch 185, epsilon = 0.100, sum(y)/len(y) = 31/1000, {Recall = 0.092477, Precision = 0.689286, F1 = 0.163076}, query = aurora	
Epoch 186, epsilon = 0.100, sum(y)/len(y) = 30/1000, {Recall = 0.091519, Precision = 0.707407, F1 = 0.162070}, query = aurora	
Epoch 187, epsilon = 0.100, sum(y)/len(y) = 28/1000, {Recall = 0.085769, Precision = 0.710317, F1 = 0.153057}, query = aurora	
