epoch;epsilon;loss;randomF1;oracleF1;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query
64; 0.360; 0.000034; 0.031730; 0.175423; 0.122885; 0.070915; 0.460000; {min=-0.037, max=0.019}; {min=-0.037, max=0.023}; 91; 108; 1
65; 0.350; 0.000034; 0.031730; 0.175423; 0.127337; 0.073484; 0.476667; {min=-0.038, max=0.019}; {min=-0.024, max=0.027}; 70; 129; 1
66; 0.340; 0.000034; 0.031730; 0.175423; 0.138023; 0.079651; 0.516667; {min=-0.041, max=0.019}; {min=-0.031, max=0.022}; 87; 112; 1
67; 0.330; 0.000035; 0.031730; 0.175423; 0.130009; 0.075026; 0.486667; {min=-0.039, max=0.019}; {min=-0.030, max=0.029}; 106; 93; 1
68; 0.320; 0.000034; 0.031730; 0.175423; 0.122885; 0.070915; 0.460000; {min=-0.037, max=0.019}; {min=-0.030, max=0.023}; 96; 103; 1
69; 0.310; 0.000032; 0.031730; 0.175423; 0.138023; 0.079651; 0.516667; {min=-0.041, max=0.019}; {min=-0.031, max=0.022}; 87; 112; 1
70; 0.300; 0.000043; 0.031730; 0.175423; 0.130009; 0.075026; 0.486667; {min=-0.039, max=0.019}; {min=-0.036, max=0.029}; 91; 108; 1
71; 0.290; 0.000033; 0.031730; 0.175423; 0.138023; 0.079651; 0.516667; {min=-0.041, max=0.019}; {min=-0.024, max=0.026}; 68; 131; 1
72; 0.280; 0.000039; 0.031730; 0.175423; 0.138023; 0.079651; 0.516667; {min=-0.041, max=0.019}; {min=-0.024, max=0.025}; 66; 133; 1
73; 0.270; 0.000033; 0.031730; 0.175423; 0.130009; 0.075026; 0.486667; {min=-0.039, max=0.019}; {min=-0.036, max=0.028}; 93; 106; 1
74; 0.260; 0.000038; 0.031730; 0.175423; 0.139804; 0.080678; 0.523333; {min=-0.042, max=0.019}; {min=-0.031, max=0.022}; 91; 108; 1
75; 0.250; 0.000030; 0.031730; 0.175423; 0.138023; 0.079651; 0.516667; {min=-0.041, max=0.019}; {min=-0.037, max=0.021}; 76; 123; 1
76; 0.240; 0.000036; 0.031730; 0.175423; 0.139804; 0.080678; 0.523333; {min=-0.042, max=0.019}; {min=-0.031, max=0.021}; 88; 111; 1
77; 0.230; 0.000032; 0.031730; 0.175423; 0.130009; 0.075026; 0.486667; {min=-0.039, max=0.019}; {min=-0.035, max=0.028}; 88; 111; 1
78; 0.220; 0.000044; 0.031730; 0.175423; 0.130009; 0.075026; 0.486667; {min=-0.039, max=0.019}; {min=-0.030, max=0.027}; 111; 88; 1
79; 0.210; 0.000034; 0.031730; 0.175423; 0.106857; 0.061665; 0.400000; {min=-0.032, max=0.019}; {min=-0.030, max=0.025}; 104; 95; 1
80; 0.200; 0.000034; 0.031730; 0.175423; 0.128228; 0.073998; 0.480000; {min=-0.038, max=0.019}; {min=-0.035, max=0.022}; 89; 110; 1
81; 0.190; 0.000036; 0.031730; 0.175423; 0.128228; 0.073998; 0.480000; {min=-0.038, max=0.019}; {min=-0.030, max=0.024}; 93; 106; 1
82; 0.180; 0.000041; 0.031730; 0.175423; 0.130899; 0.075540; 0.490000; {min=-0.039, max=0.019}; {min=-0.035, max=0.021}; 93; 106; 1
83; 0.170; 0.000026; 0.031730; 0.175423; 0.130009; 0.075026; 0.486667; {min=-0.039, max=0.019}; {min=-0.034, max=0.028}; 101; 98; 1
84; 0.160; 0.000027; 0.031730; 0.175423; 0.130009; 0.075026; 0.486667; {min=-0.039, max=0.019}; {min=-0.035, max=0.027}; 94; 105; 1
85; 0.150; 0.000030; 0.031730; 0.175423; 0.138023; 0.079651; 0.516667; {min=-0.041, max=0.019}; {min=-0.034, max=0.021}; 71; 128; 1
86; 0.140; 0.000033; 0.031730; 0.175423; 0.125557; 0.072456; 0.470000; {min=-0.038, max=0.019}; {min=-0.035, max=0.024}; 94; 105; 1
87; 0.130; 0.000030; 0.031730; 0.175423; 0.130009; 0.075026; 0.486667; {min=-0.039, max=0.019}; {min=-0.028, max=0.027}; 112; 87; 1
88; 0.120; 0.000029; 0.031730; 0.175423; 0.117542; 0.067831; 0.440000; {min=-0.035, max=0.019}; {min=-0.027, max=0.026}; 111; 88; 1
89; 0.110; 0.000030; 0.031730; 0.175423; 0.128228; 0.073998; 0.480000; {min=-0.038, max=0.019}; {min=-0.028, max=0.027}; 117; 82; 1
90; 0.100; 0.000032; 0.031730; 0.175423; 0.136242; 0.078623; 0.510000; {min=-0.041, max=0.019}; {min=-0.033, max=0.021}; 79; 120; 1
91; 0.090; 0.000026; 0.031730; 0.175423; 0.138023; 0.079651; 0.516667; {min=-0.041, max=0.019}; {min=-0.029, max=0.020}; 88; 111; 1
92; 0.080; 0.000026; 0.031730; 0.175423; 0.134461; 0.077595; 0.503333; {min=-0.040, max=0.019}; {min=-0.033, max=0.020}; 89; 110; 1
93; 0.070; 0.000030; 0.031730; 0.175423; 0.139804; 0.080678; 0.523333; {min=-0.042, max=0.019}; {min=-0.027, max=0.021}; 82; 117; 1
94; 0.060; 0.000027; 0.031730; 0.175423; 0.130009; 0.075026; 0.486667; {min=-0.039, max=0.019}; {min=-0.033, max=0.016}; 64; 135; 1
95; 0.050; 0.000022; 0.031730; 0.175423; 0.128228; 0.073998; 0.480000; {min=-0.038, max=0.019}; {min=-0.027, max=0.026}; 114; 85; 1
96; 0.050; 0.000033; 0.031730; 0.175423; 0.134461; 0.077595; 0.503333; {min=-0.040, max=0.019}; {min=-0.027, max=0.016}; 78; 121; 1
97; 0.050; 0.000028; 0.031730; 0.175423; 0.124666; 0.071942; 0.466667; {min=-0.037, max=0.019}; {min=-0.033, max=0.022}; 57; 142; 1
98; 0.050; 0.000025; 0.031730; 0.175423; 0.130009; 0.075026; 0.486667; {min=-0.039, max=0.019}; {min=-0.033, max=0.015}; 65; 134; 1
99; 0.050; 0.000024; 0.031730; 0.175423; 0.126447; 0.072970; 0.473333; {min=-0.038, max=0.019}; {min=-0.033, max=0.022}; 80; 119; 1
100; 0.050; 0.000024; 0.031730; 0.175423; 0.132680; 0.076567; 0.496667; {min=-0.040, max=0.019}; {min=-0.027, max=0.025}; 122; 77; 1
101; 0.050; 0.000027; 0.031730; 0.175423; 0.136242; 0.078623; 0.510000; {min=-0.041, max=0.019}; {min=-0.027, max=0.015}; 76; 123; 1
102; 0.050; 0.000025; 0.031730; 0.175423; 0.138023; 0.079651; 0.516667; {min=-0.041, max=0.019}; {min=-0.026, max=0.016}; 85; 114; 1
103; 0.050; 0.000017; 0.031730; 0.175423; 0.130899; 0.075540; 0.490000; {min=-0.039, max=0.019}; {min=-0.033, max=0.014}; 55; 144; 1
104; 0.050; 0.000020; 0.031730; 0.175423; 0.130899; 0.075540; 0.490000; {min=-0.039, max=0.019}; {min=-0.032, max=0.015}; 54; 145; 1
105; 0.050; 0.000023; 0.031730; 0.175423; 0.132680; 0.076567; 0.496667; {min=-0.040, max=0.019}; {min=-0.031, max=0.015}; 66; 133; 1
106; 0.050; 0.000022; 0.031730; 0.175423; 0.138023; 0.079651; 0.516667; {min=-0.041, max=0.019}; {min=-0.026, max=0.015}; 84; 115; 1
107; 0.050; 0.000024; 0.031730; 0.175423; 0.140695; 0.081192; 0.526667; {min=-0.042, max=0.019}; {min=-0.025, max=0.021}; 105; 94; 1
108; 0.050; 0.000023; 0.031730; 0.175423; 0.138023; 0.079651; 0.516667; {min=-0.041, max=0.019}; {min=-0.027, max=0.014}; 83; 116; 1
109; 0.050; 0.000026; 0.031730; 0.175423; 0.133571; 0.077081; 0.500000; {min=-0.040, max=0.019}; {min=-0.032, max=0.014}; 66; 133; 1
110; 0.050; 0.000023; 0.031730; 0.175423; 0.138023; 0.079651; 0.516667; {min=-0.041, max=0.019}; {min=-0.026, max=0.015}; 83; 116; 1
111; 0.050; 0.000023; 0.031730; 0.175423; 0.138023; 0.079651; 0.516667; {min=-0.041, max=0.019}; {min=-0.025, max=0.015}; 85; 114; 1
112; 0.050; 0.000029; 0.031730; 0.175423; 0.137133; 0.079137; 0.513333; {min=-0.041, max=0.019}; {min=-0.025, max=0.025}; 117; 82; 1
113; 0.050; 0.000020; 0.031730; 0.175423; 0.130009; 0.075026; 0.486667; {min=-0.039, max=0.019}; {min=-0.030, max=0.014}; 56; 143; 1
114; 0.050; 0.000024; 0.031730; 0.175423; 0.132680; 0.076567; 0.496667; {min=-0.040, max=0.019}; {min=-0.023, max=0.026}; 111; 88; 1
115; 0.050; 0.000025; 0.031730; 0.175423; 0.133571; 0.077081; 0.500000; {min=-0.040, max=0.019}; {min=-0.030, max=0.013}; 56; 143; 1
116; 0.050; 0.000020; 0.031730; 0.175423; 0.138023; 0.079651; 0.516667; {min=-0.041, max=0.019}; {min=-0.024, max=0.015}; 85; 114; 1
117; 0.050; 0.000023; 0.031730; 0.175423; 0.137133; 0.079137; 0.513333; {min=-0.041, max=0.019}; {min=-0.025, max=0.025}; 103; 96; 1
118; 0.050; 0.000022; 0.031730; 0.175423; 0.097061; 0.056012; 0.363333; {min=-0.029, max=0.019}; {min=-0.035, max=0.026}; 117; 82; 1
119; 0.050; 0.000032; 0.031730; 0.175423; 0.098842; 0.057040; 0.370000; {min=-0.030, max=0.019}; {min=-0.035, max=0.025}; 115; 84; 1
120; 0.050; 0.000029; 0.031730; 0.175423; 0.132680; 0.076567; 0.496667; {min=-0.040, max=0.019}; {min=-0.025, max=0.025}; 111; 88; 1
121; 0.050; 0.000024; 0.031730; 0.175423; 0.140695; 0.081192; 0.526667; {min=-0.042, max=0.019}; {min=-0.025, max=0.014}; 95; 104; 1
122; 0.050; 0.000032; 0.031730; 0.175423; 0.128228; 0.073998; 0.480000; {min=-0.038, max=0.019}; {min=-0.029, max=0.014}; 53; 146; 1
123; 0.050; 0.000026; 0.031730; 0.175423; 0.133571; 0.077081; 0.500000; {min=-0.040, max=0.019}; {min=-0.028, max=0.014}; 56; 143; 1
124; 0.050; 0.000019; 0.031730; 0.175423; 0.140695; 0.081192; 0.526667; {min=-0.042, max=0.019}; {min=-0.023, max=0.015}; 84; 115; 1
125; 0.050; 0.000020; 0.031730; 0.175423; 0.139804; 0.080678; 0.523333; {min=-0.042, max=0.019}; {min=-0.024, max=0.025}; 98; 101; 1
126; 0.050; 0.000020; 0.031730; 0.175423; 0.120214; 0.069373; 0.450000; {min=-0.036, max=0.019}; {min=-0.025, max=0.025}; 98; 101; 1
127; 0.050; 0.000025; 0.031730; 0.175423; 0.104185; 0.060123; 0.390000; {min=-0.031, max=0.019}; {min=-0.025, max=0.026}; 106; 93; 1
128; 0.050; 0.000020; 0.031730; 0.175423; 0.101514; 0.058582; 0.380000; {min=-0.030, max=0.019}; {min=-0.025, max=0.026}; 104; 95; 1
129; 0.050; 0.000024; 0.031730; 0.175423; 0.138023; 0.079651; 0.516667; {min=-0.041, max=0.019}; {min=-0.024, max=0.013}; 71; 128; 1
130; 0.050; 0.000024; 0.031730; 0.175423; 0.140695; 0.081192; 0.526667; {min=-0.042, max=0.019}; {min=-0.023, max=0.015}; 87; 112; 1
131; 0.050; 0.000028; 0.031730; 0.175423; 0.113090; 0.065262; 0.423333; {min=-0.034, max=0.019}; {min=-0.022, max=0.020}; 81; 118; 1
132; 0.050; 0.000023; 0.031730; 0.175423; 0.113090; 0.065262; 0.423333; {min=-0.034, max=0.019}; {min=-0.024, max=0.026}; 97; 102; 1
133; 0.050; 0.000023; 0.031730; 0.175423; 0.122885; 0.070915; 0.460000; {min=-0.037, max=0.019}; {min=-0.024, max=0.025}; 92; 107; 1
134; 0.050; 0.000015; 0.031730; 0.175423; 0.122885; 0.070915; 0.460000; {min=-0.037, max=0.019}; {min=-0.024, max=0.016}; 81; 118; 1
135; 0.050; 0.000018; 0.031730; 0.175423; 0.135352; 0.078109; 0.506667; {min=-0.041, max=0.019}; {min=-0.023, max=0.016}; 78; 121; 1
136; 0.050; 0.000021; 0.031730; 0.175423; 0.122885; 0.070915; 0.460000; {min=-0.037, max=0.019}; {min=-0.021, max=0.017}; 63; 136; 1
137; 0.050; 0.000029; 0.031730; 0.175423; 0.131790; 0.076053; 0.493333; {min=-0.040, max=0.019}; {min=-0.027, max=0.015}; 48; 151; 1
138; 0.050; 0.000023; 0.031730; 0.175423; 0.134461; 0.077595; 0.503333; {min=-0.040, max=0.019}; {min=-0.027, max=0.019}; 45; 154; 1
139; 0.050; 0.000020; 0.031730; 0.175423; 0.129118; 0.074512; 0.483333; {min=-0.039, max=0.019}; {min=-0.021, max=0.014}; 66; 133; 1
140; 0.050; 0.000024; 0.031730; 0.175423; 0.140695; 0.081192; 0.526667; {min=-0.042, max=0.019}; {min=-0.024, max=0.014}; 92; 107; 1
141; 0.050; 0.000021; 0.031730; 0.175423; 0.133571; 0.077081; 0.500000; {min=-0.040, max=0.019}; {min=-0.023, max=0.013}; 59; 140; 1
142; 0.050; 0.000021; 0.031730; 0.175423; 0.139804; 0.080678; 0.523333; {min=-0.042, max=0.019}; {min=-0.023, max=0.013}; 75; 124; 1
143; 0.050; 0.000018; 0.031730; 0.175423; 0.130009; 0.075026; 0.486667; {min=-0.039, max=0.019}; {min=-0.023, max=0.019}; 78; 121; 1
144; 0.050; 0.000021; 0.031730; 0.175423; 0.138023; 0.079651; 0.516667; {min=-0.041, max=0.019}; {min=-0.022, max=0.014}; 56; 143; 1
145; 0.050; 0.000026; 0.031730; 0.175423; 0.134461; 0.077595; 0.503333; {min=-0.040, max=0.019}; {min=-0.022, max=0.015}; 51; 148; 1
146; 0.050; 0.000021; 0.031730; 0.175423; 0.133571; 0.077081; 0.500000; {min=-0.040, max=0.019}; {min=-0.021, max=0.014}; 77; 122; 1
147; 0.050; 0.000019; 0.031730; 0.175423; 0.134461; 0.077595; 0.503333; {min=-0.040, max=0.019}; {min=-0.023, max=0.013}; 55; 144; 1
148; 0.050; 0.000017; 0.031730; 0.175423; 0.134461; 0.077595; 0.503333; {min=-0.040, max=0.019}; {min=-0.021, max=0.014}; 59; 140; 1
149; 0.050; 0.000021; 0.031730; 0.175423; 0.139804; 0.080678; 0.523333; {min=-0.042, max=0.019}; {min=-0.021, max=0.014}; 85; 114; 1
150; 0.050; 0.000017; 0.031730; 0.175423; 0.139804; 0.080678; 0.523333; {min=-0.042, max=0.019}; {min=-0.020, max=0.015}; 94; 105; 1
151; 0.050; 0.000017; 0.031730; 0.175423; 0.138023; 0.079651; 0.516667; {min=-0.041, max=0.019}; {min=-0.021, max=0.014}; 53; 146; 1
152; 0.050; 0.000023; 0.031730; 0.175423; 0.135352; 0.078109; 0.506667; {min=-0.041, max=0.019}; {min=-0.034, max=0.021}; 101; 98; 1
153; 0.050; 0.000016; 0.031730; 0.175423; 0.135352; 0.078109; 0.506667; {min=-0.041, max=0.019}; {min=-0.034, max=0.025}; 107; 92; 1
154; 0.050; 0.000013; 0.031730; 0.175423; 0.133571; 0.077081; 0.500000; {min=-0.040, max=0.019}; {min=-0.034, max=0.025}; 116; 83; 1
155; 0.050; 0.000013; 0.031730; 0.175423; 0.135352; 0.078109; 0.506667; {min=-0.041, max=0.019}; {min=-0.034, max=0.021}; 103; 96; 1
156; 0.050; 0.000022; 0.031730; 0.175423; 0.138023; 0.079651; 0.516667; {min=-0.041, max=0.019}; {min=-0.021, max=0.014}; 70; 129; 1
157; 0.050; 0.000018; 0.031730; 0.175423; 0.139804; 0.080678; 0.523333; {min=-0.042, max=0.019}; {min=-0.021, max=0.013}; 78; 121; 1
158; 0.050; 0.000019; 0.031730; 0.175423; 0.135352; 0.078109; 0.506667; {min=-0.041, max=0.019}; {min=-0.024, max=0.020}; 100; 99; 1
159; 0.050; 0.000016; 0.031730; 0.175423; 0.135352; 0.078109; 0.506667; {min=-0.041, max=0.019}; {min=-0.023, max=0.024}; 103; 96; 1
160; 0.050; 0.000016; 0.031730; 0.175423; 0.135352; 0.078109; 0.506667; {min=-0.041, max=0.019}; {min=-0.020, max=0.020}; 92; 107; 1
161; 0.050; 0.000019; 0.031730; 0.175423; 0.135352; 0.078109; 0.506667; {min=-0.041, max=0.019}; {min=-0.034, max=0.024}; 110; 89; 1
162; 0.050; 0.000020; 0.031730; 0.175423; 0.135352; 0.078109; 0.506667; {min=-0.041, max=0.019}; {min=-0.020, max=0.021}; 95; 104; 1
163; 0.050; 0.000018; 0.031730; 0.175423; 0.135352; 0.078109; 0.506667; {min=-0.041, max=0.019}; {min=-0.035, max=0.024}; 111; 88; 1
164; 0.050; 0.000019; 0.031730; 0.175423; 0.138023; 0.079651; 0.516667; {min=-0.041, max=0.019}; {min=-0.022, max=0.013}; 75; 124; 1
