...Utils file loaded	
...running on CPU	
training model with metric = f1, learning rate = 0.100, K = 20, J = 10, threshold = 0.000, embedding size = 50	
Running LSTM model	
Epoch 70, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 71, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 72, epsilon = 0.000, sum(y)/len(y) = 116/999, {Recall = 0.401054, Precision = 0.506352, F1 = 0.447594}, query = aurora	
Epoch 73, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 74, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 75, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 76, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 77, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 78, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 79, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 80, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 81, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 82, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 83, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 84, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 85, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 86, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 87, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 88, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 89, epsilon = 0.000, sum(y)/len(y) = 0/999, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
