...Utils file loaded	
...running on CPU	
training model with metric = f1, learning rate = 0.200, K = 20, J = 10, threshold = 0.000, embedding size = 50	
Running LSTM model	
Epoch 68, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 880/999, {Recall = 0.141746, Precision = 0.800154, F1 = 0.240830}, query = aurora	
Epoch 69, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 896/999, {Recall = 0.139277, Precision = 0.798229, F1 = 0.237172}, query = aurora	
Epoch 70, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 926/999, {Recall = 0.135116, Precision = 0.801694, F1 = 0.231256}, query = aurora	
Epoch 71, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 914/999, {Recall = 0.137400, Precision = 0.803235, F1 = 0.234659}, query = aurora	
Epoch 72, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 931/999, {Recall = 0.134278, Precision = 0.802464, F1 = 0.230060}, query = aurora	
Epoch 73, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 846/999, {Recall = 0.145733, Precision = 0.794378, F1 = 0.246284}, query = aurora	
Epoch 74, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 877/999, {Recall = 0.142621, Precision = 0.798229, F1 = 0.242003}, query = aurora	
Epoch 75, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 944/999, {Recall = 0.133185, Precision = 0.805160, F1 = 0.228562}, query = aurora	
Epoch 76, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 960/999, {Recall = 0.131131, Precision = 0.807085, F1 = 0.225607}, query = aurora	
Epoch 77, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 951/999, {Recall = 0.132381, Precision = 0.806315, F1 = 0.227423}, query = aurora	
Epoch 78, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 954/999, {Recall = 0.132326, Precision = 0.809395, F1 = 0.227465}, query = aurora	
Epoch 79, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 952/999, {Recall = 0.131745, Precision = 0.804775, F1 = 0.226423}, query = aurora	
Epoch 80, loss  = 0.004, epsilon = 0.100, sum(y)/len(y) = 940/999, {Recall = 0.134222, Precision = 0.806315, F1 = 0.230135}, query = aurora	
Epoch 81, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 926/999, {Recall = 0.135437, Precision = 0.803235, F1 = 0.231791}, query = aurora	
Epoch 82, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 832/999, {Recall = 0.147805, Precision = 0.792068, F1 = 0.249122}, query = aurora	
Epoch 83, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 928/999, {Recall = 0.135310, Precision = 0.804775, F1 = 0.231669}, query = aurora	
Epoch 84, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 854/999, {Recall = 0.145795, Precision = 0.797074, F1 = 0.246502}, query = aurora	
Epoch 85, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 923/999, {Recall = 0.135826, Precision = 0.804390, F1 = 0.232408}, query = aurora	
Epoch 86, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 896/999, {Recall = 0.139754, Precision = 0.800154, F1 = 0.237948}, query = aurora	
Epoch 87, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 906/999, {Recall = 0.137648, Precision = 0.799384, F1 = 0.234855}, query = aurora	
Epoch 88, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 935/999, {Recall = 0.134518, Precision = 0.804775, F1 = 0.230506}, query = aurora	
Epoch 89, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 876/999, {Recall = 0.142075, Precision = 0.798999, F1 = 0.241251}, query = aurora	
Epoch 90, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 901/999, {Recall = 0.139158, Precision = 0.802849, F1 = 0.237201}, query = aurora	
Epoch 91, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 863/999, {Recall = 0.144200, Precision = 0.797459, F1 = 0.244236}, query = aurora	
Epoch 92, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 949/999, {Recall = 0.132350, Precision = 0.805160, F1 = 0.227332}, query = aurora	
Epoch 93, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 905/999, {Recall = 0.137865, Precision = 0.803620, F1 = 0.235354}, query = aurora	
Epoch 94, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 859/999, {Recall = 0.144562, Precision = 0.797459, F1 = 0.244756}, query = aurora	
Epoch 95, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 877/999, {Recall = 0.141968, Precision = 0.798999, F1 = 0.241097}, query = aurora	
Epoch 96, loss  = 0.003, epsilon = 0.100, sum(y)/len(y) = 892/999, {Recall = 0.140154, Precision = 0.801309, F1 = 0.238578}, query = aurora	
Epoch 97, loss  = 0.002, epsilon = 0.100, sum(y)/len(y) = 919/999, {Recall = 0.136764, Precision = 0.806315, F1 = 0.233862}, query = aurora	
