...Utils file loaded	
...running on GPU	
training model with learning rate = 0.050, K = 10, and minibatch size = 100...	
Running BOW model	
Epoch 78, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 79, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 80, epsilon = 0.100, sum(y)/len(y) = 45/1000, {Recall = 0.129372, Precision = 0.725806, F1 = 0.219601}, query = aurora	
Epoch 81, epsilon = 0.100, sum(y)/len(y) = 56/1000, {Recall = 0.130331, Precision = 0.625287, F1 = 0.215702}, query = aurora	
Epoch 82, epsilon = 0.100, sum(y)/len(y) = 45/1000, {Recall = 0.134164, Precision = 0.734908, F1 = 0.226904}, query = aurora	
Epoch 83, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 84, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 85, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 86, epsilon = 0.100, sum(y)/len(y) = 100/1000, {Recall = 0.225204, Precision = 0.593434, F1 = 0.326502}, query = aurora	
Epoch 87, epsilon = 0.100, sum(y)/len(y) = 54/1000, {Recall = 0.144705, Precision = 0.702326, F1 = 0.239968}, query = aurora	
Epoch 88, epsilon = 0.100, sum(y)/len(y) = 156/1000, {Recall = 0.361763, Precision = 0.584818, F1 = 0.447010}, query = aurora	
Epoch 89, epsilon = 0.100, sum(y)/len(y) = 51/1000, {Recall = 0.107331, Precision = 0.571429, F1 = 0.180718}, query = aurora	
Epoch 90, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 91, epsilon = 0.100, sum(y)/len(y) = 133/1000, {Recall = 0.316243, Precision = 0.596745, F1 = 0.413404}, query = aurora	
Epoch 92, epsilon = 0.100, sum(y)/len(y) = 43/1000, {Recall = 0.125060, Precision = 0.737288, F1 = 0.213847}, query = aurora	
Epoch 93, epsilon = 0.100, sum(y)/len(y) = 54/1000, {Recall = 0.152851, Precision = 0.708889, F1 = 0.251478}, query = aurora	
Epoch 94, epsilon = 0.100, sum(y)/len(y) = 42/1000, {Recall = 0.116435, Precision = 0.736364, F1 = 0.201076}, query = aurora	
