Epoch 0, minibatch 74-160, sumy-leny = 3977-8000, Recall = 0.161502, Precision = 0.652751, F1 = 0.258939  
Epoch 0, minibatch 75-160, sumy-leny = 3978-8000, Recall = 0.115962, Precision = 0.608374, F1 = 0.194795  
Epoch 0, minibatch 76-160, sumy-leny = 3984-8000, Recall = 0.153052, Precision = 0.674948, F1 = 0.249522  
Epoch 0, minibatch 77-160, sumy-leny = 3976-8000, Recall = 0.153521, Precision = 0.567708, F1 = 0.241685  
Epoch 0, minibatch 78-160, sumy-leny = 3983-8000, Recall = 0.172770, Precision = 0.664260, F1 = 0.274218  
Epoch 0, minibatch 79-160, sumy-leny = 3982-8000, Recall = 0.117840, Precision = 0.640306, F1 = 0.199048  
Epoch 0, minibatch 80-160, sumy-leny = 3984-8000, Recall = 0.167136, Precision = 0.627866, F1 = 0.263997  
Epoch 0, minibatch 81-160, sumy-leny = 3971-8000, Recall = 0.144601, Precision = 0.640333, F1 = 0.235925  
Epoch 0, minibatch 82-160, sumy-leny = 3974-8000, Recall = 0.139906, Precision = 0.672686, F1 = 0.231636  
Epoch 0, minibatch 83-160, sumy-leny = 3974-8000, Recall = 0.178404, Precision = 0.688406, F1 = 0.283371  
Epoch 0, minibatch 84-160, sumy-leny = 3974-8000, Recall = 0.195305, Precision = 0.697987, F1 = 0.305209  
Epoch 0, minibatch 85-160, sumy-leny = 3967-8000, Recall = 0.163850, Precision = 0.663498, F1 = 0.262801  
Epoch 0, minibatch 86-160, sumy-leny = 3960-8000, Recall = 0.145070, Precision = 0.661670, F1 = 0.237967  
Epoch 0, minibatch 87-160, sumy-leny = 3965-8000, Recall = 0.177934, Precision = 0.661431, F1 = 0.280429  
Epoch 0, minibatch 88-160, sumy-leny = 3968-8000, Recall = 0.212676, Precision = 0.664223, F1 = 0.322191  
Epoch 0, minibatch 89-160, sumy-leny = 3967-8000, Recall = 0.183099, Precision = 0.661017, F1 = 0.286765  
Epoch 0, minibatch 90-160, sumy-leny = 3962-8000, Recall = 0.191080, Precision = 0.670511, F1 = 0.297406  
Epoch 0, minibatch 91-160, sumy-leny = 3956-8000, Recall = 0.119249, Precision = 0.711485, F1 = 0.204262  
Epoch 0, minibatch 92-160, sumy-leny = 3955-8000, Recall = 0.130986, Precision = 0.661137, F1 = 0.218652  
Epoch 0, minibatch 93-160, sumy-leny = 3953-8000, Recall = 0.108451, Precision = 0.652542, F1 = 0.185990  
Epoch 0, minibatch 94-160, sumy-leny = 3955-8000, Recall = 0.172770, Precision = 0.673993, F1 = 0.275037  
Epoch 0, minibatch 95-160, sumy-leny = 3947-8000, Recall = 0.092488, Precision = 0.576023, F1 = 0.159385  
Epoch 0, minibatch 96-160, sumy-leny = 3947-8000, Recall = 0.163850, Precision = 0.656015, F1 = 0.262209  
