epoch;epsilon;loss;randomF1;oracleF1;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query
80; 0.000; 0.000024; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.030}; 19; 1; 2
81; 0.000; 0.000013; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.031}; 19; 1; 2
82; 0.000; 0.000005; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.028}; 19; 1; 2
83; 0.000; 0.000002; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.029}; 19; 1; 2
84; 0.000; 0.000001; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.028}; 19; 1; 2
85; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.028}; 19; 1; 2
86; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
87; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
88; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
89; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
90; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
91; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
92; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
93; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
94; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
95; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
96; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
97; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
98; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
99; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
100; 0.000; 0.000000; 0.042857; 0.223947; 0.182517; 0.152488; 0.227273; {min=0.000, max=0.027}; {min=-0.061, max=0.027}; 19; 1; 2
