epoch;epsilon;loss;rougeF1;rougeRecall;rougePrecision;actual;pred
18; 0.915; 0.000000; 0.560000; 0.500000; 0.636364; {min=-0.647, max=0.251}; {min=-0.634, max=0.111}
19; 0.910; 0.000000; 0.833333; 0.714286; 1.000000; {min=-0.647, max=0.247}; {min=-0.634, max=0.126}
20; 0.905; 0.000000; 0.428571; 0.428571; 0.428571; {min=-0.647, max=0.198}; {min=-0.634, max=0.262}
21; 0.900; 0.000000; 0.560000; 0.500000; 0.636364; {min=-1.000, max=0.286}; {min=-0.634, max=0.234}
22; 0.895; 0.000000; 0.666667; 0.500000; 1.000000; {min=-0.647, max=0.314}; {min=-0.634, max=0.111}
23; 0.890; 0.000000; 0.833333; 0.714286; 1.000000; {min=-0.647, max=0.247}; {min=-0.634, max=0.126}
24; 0.885; 0.000000; 0.307692; 0.285714; 0.333333; {min=-1.000, max=0.319}; {min=-0.668, max=0.390}
25; 0.880; 0.000000; 0.482759; 0.500000; 0.466667; {min=-1.000, max=0.286}; {min=-0.634, max=0.234}
26; 0.875; 0.000000; 0.500000; 0.428571; 0.600000; {min=-0.647, max=0.247}; {min=-0.634, max=0.067}
27; 0.870; 0.000000; 0.240000; 0.214286; 0.272727; {min=-0.701, max=0.000}; {min=-0.788, max=0.400}
28; 0.865; 0.000000; 0.560000; 0.500000; 0.636364; {min=-0.647, max=0.251}; {min=-0.634, max=0.111}
29; 0.860; 0.000000; 0.000000; 0.000000; 0.000000; {min=-1.000, max=0.000}; {min=-0.668, max=0.353}
30; 0.855; 0.000000; 0.555556; 0.714286; 0.454545; {min=-0.701, max=0.157}; {min=-0.723, max=0.365}
31; 0.850; 0.000000; 0.307692; 0.285714; 0.333333; {min=-1.000, max=0.308}; {min=-0.714, max=0.497}
32; 0.845; 0.000000; 0.375000; 0.428571; 0.333333; {min=-0.701, max=0.157}; {min=-0.723, max=0.437}
33; 0.840; 0.000000; 0.424242; 0.500000; 0.368421; {min=-1.000, max=0.249}; {min=-0.634, max=0.428}
34; 0.835; 0.000000; 0.363636; 0.285714; 0.500000; {min=-1.000, max=0.364}; {min=-0.668, max=0.390}
35; 0.830; 0.000000; 0.560000; 0.500000; 0.636364; {min=-0.701, max=0.274}; {min=-0.788, max=0.336}
36; 0.825; 0.000000; 0.000000; 0.000000; 0.000000; {min=-1.000, max=0.000}; {min=-0.714, max=0.321}
37; 0.820; 0.000000; 0.375000; 0.428571; 0.333333; {min=-0.701, max=0.157}; {min=-0.723, max=0.437}
38; 0.815; 0.000000; 0.428571; 0.428571; 0.428571; {min=-0.647, max=0.198}; {min=-0.634, max=0.262}
39; 0.810; 0.000000; 0.560000; 0.500000; 0.636364; {min=-0.647, max=0.251}; {min=-0.634, max=0.111}
40; 0.805; 0.000000; 0.833333; 0.714286; 1.000000; {min=-0.647, max=0.247}; {min=-0.634, max=0.126}
41; 0.800; 0.000000; 0.482759; 0.500000; 0.466667; {min=-0.647, max=0.212}; {min=-0.788, max=0.336}
42; 0.795; 0.000000; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.214}; {min=-0.634, max=0.070}
43; 0.790; 0.000000; 0.424242; 0.500000; 0.368421; {min=-0.701, max=0.196}; {min=-0.731, max=0.455}
44; 0.785; 0.000000; 0.500000; 0.428571; 0.600000; {min=-0.647, max=0.247}; {min=-0.634, max=0.067}
45; 0.780; 0.000000; 0.424242; 0.500000; 0.368421; {min=-0.701, max=0.196}; {min=-0.731, max=0.455}
46; 0.775; 0.000000; 0.000000; 0.000000; 0.000000; {min=-1.000, max=0.000}; {min=-0.668, max=0.353}
47; 0.770; 0.000000; 0.307692; 0.285714; 0.333333; {min=-1.000, max=0.319}; {min=-0.668, max=0.390}
