...running on CPU	
Running LSTM model to learn f1	
epoch = 164; rougue = 0.914867; epsilon = 0.000000; loss = 0.084174	
epoch = 165; rougue = 0.910497; epsilon = 0.000000; loss = 0.042433	
epoch = 166; rougue = 0.913295; epsilon = 0.000000; loss = 0.052808	
epoch = 167; rougue = 0.834001; epsilon = 0.000000; loss = 0.067341	
epoch = 168; rougue = 0.911388; epsilon = 0.000000; loss = 0.070485	
epoch = 169; rougue = 0.890502; epsilon = 0.000000; loss = 0.056220	
epoch = 170; rougue = 0.910579; epsilon = 0.000000; loss = 0.059697	
epoch = 171; rougue = 0.910347; epsilon = 0.000000; loss = 0.051678	
epoch = 172; rougue = 0.862907; epsilon = 0.000000; loss = 0.057502	
epoch = 173; rougue = 0.907820; epsilon = 0.000000; loss = 0.061272	
epoch = 174; rougue = 0.916415; epsilon = 0.000000; loss = 0.056499	
epoch = 175; rougue = 0.919921; epsilon = 0.000000; loss = 0.060770	
epoch = 176; rougue = 0.914842; epsilon = 0.000000; loss = 0.043078	
epoch = 177; rougue = 0.918237; epsilon = 0.000000; loss = 0.048605	
epoch = 178; rougue = 0.845711; epsilon = 0.000000; loss = 0.064338	
epoch = 179; rougue = 0.914073; epsilon = 0.000000; loss = 0.052647	
epoch = 180; rougue = 0.910981; epsilon = 0.000000; loss = 0.063618	
epoch = 181; rougue = 0.905625; epsilon = 0.000000; loss = 0.060258	
epoch = 182; rougue = 0.829955; epsilon = 0.000000; loss = 0.073630	
epoch = 183; rougue = 0.906447; epsilon = 0.000000; loss = 0.062983	
epoch = 184; rougue = 0.905468; epsilon = 0.000000; loss = 0.065710	
epoch = 185; rougue = 0.908236; epsilon = 0.000000; loss = 0.062317	
epoch = 186; rougue = 0.910872; epsilon = 0.000000; loss = 0.078596	
epoch = 187; rougue = 0.629134; epsilon = 0.000000; loss = 0.093960	
epoch = 188; rougue = 0.911120; epsilon = 0.000000; loss = 0.091338	
epoch = 189; rougue = 0.872147; epsilon = 0.000000; loss = 0.086961	
epoch = 190; rougue = 0.856575; epsilon = 0.000000; loss = 0.076648	
epoch = 191; rougue = 0.918127; epsilon = 0.000000; loss = 0.067775	
epoch = 192; rougue = 0.913238; epsilon = 0.000000; loss = 0.070199	
epoch = 193; rougue = 0.916843; epsilon = 0.000000; loss = 0.051929	
epoch = 194; rougue = 0.906124; epsilon = 0.000000; loss = 0.052241	
epoch = 195; rougue = 0.821974; epsilon = 0.000000; loss = 0.066298	
epoch = 196; rougue = 0.895677; epsilon = 0.000000; loss = 0.079033	
epoch = 197; rougue = 0.905529; epsilon = 0.000000; loss = 0.060954	
epoch = 198; rougue = 0.910973; epsilon = 0.000000; loss = 0.052407	
epoch = 199; rougue = 0.910408; epsilon = 0.000000; loss = 0.049946	
epoch = 200; rougue = 0.830203; epsilon = 0.000000; loss = 0.060668	
Elapsed time: 19508.92584	
First rougue = 0.486998; Last rougue = 0.830203	
